time,value
2023-03-13T08:58:47.475Z,60
2023-03-13T08:58:49.572Z,60
2023-03-13T08:58:51.688Z,59.900001525878906
2023-03-13T08:58:53.794Z,59.900001525878906
2023-03-13T08:58:55.902Z,59.900001525878906
2023-03-13T08:58:58.014Z,59.900001525878906
2023-03-13T08:59:00.123Z,59.900001525878906
2023-03-13T08:59:02.221Z,59.900001525878906
2023-03-13T08:59:04.341Z,59.900001525878906
2023-03-13T08:59:06.444Z,59.900001525878906
2023-03-13T08:59:08.547Z,59.900001525878906
2023-03-13T08:59:10.663Z,59.900001525878906
2023-03-13T08:59:12.78Z,59.900001525878906
2023-03-13T08:59:14.888Z,59.900001525878906
2023-03-13T08:59:17.001Z,59.900001525878906
2023-03-13T08:59:19.103Z,59.900001525878906
2023-03-13T08:59:21.217Z,59.900001525878906
2023-03-13T08:59:23.319Z,59.900001525878906
2023-03-13T08:59:25.44Z,60
2023-03-13T08:59:27.543Z,59.900001525878906
2023-03-13T08:59:29.66Z,59.900001525878906
2023-03-13T08:59:31.768Z,59.900001525878906
2023-03-13T08:59:33.878Z,59.900001525878906
2023-03-13T08:59:35.988Z,59.900001525878906
2023-03-13T08:59:38.118Z,59.900001525878906
2023-03-13T08:59:40.225Z,59.900001525878906
2023-03-13T08:59:42.302Z,59.900001525878906
2023-03-13T08:59:44.418Z,60
2023-03-13T08:59:46.523Z,59.900001525878906
2023-03-13T08:59:48.633Z,59.900001525878906
2023-03-13T08:59:50.743Z,59.900001525878906
2023-03-13T08:59:52.859Z,59.900001525878906
2023-03-13T08:59:54.974Z,60
2023-03-13T08:59:57.081Z,60
2023-03-13T08:59:59.188Z,59.900001525878906
2023-03-13T09:00:01.297Z,60
2023-03-13T09:00:03.404Z,59.900001525878906
2023-03-13T09:00:05.517Z,60
2023-03-13T09:00:07.613Z,60
2023-03-13T09:00:09.73Z,59.900001525878906
2023-03-13T09:00:11.84Z,60
2023-03-13T09:00:13.941Z,59.900001525878906
2023-03-13T09:00:16.071Z,59.900001525878906
2023-03-13T09:00:18.176Z,59.900001525878906
2023-03-13T09:00:20.283Z,60
2023-03-13T09:00:22.397Z,59.900001525878906
2023-03-13T09:00:24.498Z,60
2023-03-13T09:00:26.604Z,59.900001525878906
2023-03-13T09:00:28.711Z,59.900001525878906
2023-03-13T09:00:30.824Z,60
2023-03-13T09:00:32.928Z,59.900001525878906
2023-03-13T09:00:35.042Z,59.900001525878906
2023-03-13T09:00:37.147Z,60
2023-03-13T09:00:39.267Z,60
2023-03-13T09:00:41.372Z,60
2023-03-13T09:00:43.493Z,59.900001525878906
2023-03-13T09:00:45.589Z,60
2023-03-13T09:00:47.696Z,60
2023-03-13T09:00:49.81Z,60
2023-03-13T09:00:51.917Z,60
2023-03-13T09:00:54.027Z,59.900001525878906
2023-03-13T09:00:56.137Z,59.900001525878906
2023-03-13T09:00:58.241Z,60
2023-03-13T09:01:00.385Z,60
2023-03-13T09:01:02.473Z,59.900001525878906
2023-03-13T09:01:04.582Z,60
2023-03-13T09:01:06.689Z,60
2023-03-13T09:01:08.799Z,59.900001525878906
2023-03-13T09:01:10.904Z,60
2023-03-13T09:01:13.014Z,60
2023-03-13T09:01:15.123Z,59.900001525878906
2023-03-13T09:01:17.229Z,60
2023-03-13T09:01:19.334Z,60
2023-03-13T09:01:21.448Z,59.900001525878906
2023-03-13T09:01:23.553Z,60
2023-03-13T09:01:25.677Z,60
2023-03-13T09:01:27.783Z,60
2023-03-13T09:01:29.894Z,59.900001525878906
2023-03-13T09:01:32.005Z,60
2023-03-13T09:01:34.108Z,60
2023-03-13T09:01:36.213Z,60
2023-03-13T09:01:38.317Z,60
2023-03-13T09:01:40.432Z,60
2023-03-13T09:01:42.539Z,60
2023-03-13T09:01:44.644Z,60
2023-03-13T09:01:46.758Z,60
2023-03-13T09:01:48.864Z,60
2023-03-13T09:01:50.975Z,60
2023-03-13T09:01:53.082Z,60
2023-03-13T09:01:55.204Z,60
2023-03-13T09:01:59.091Z,60
2023-03-13T09:01:59.419Z,60
2023-03-13T09:02:01.532Z,59.900001525878906
2023-03-13T09:02:03.634Z,60
2023-03-13T09:02:05.738Z,60
2023-03-13T09:02:07.855Z,60
2023-03-13T09:02:09.956Z,59.900001525878906
2023-03-13T09:02:12.082Z,60
2023-03-13T09:02:14.195Z,60
2023-03-13T09:02:16.298Z,60
2023-03-13T09:02:18.404Z,60
2023-03-13T09:02:20.515Z,60
2023-03-13T09:02:22.622Z,60
2023-03-13T09:02:24.734Z,60
2023-03-13T09:02:26.836Z,60
2023-03-13T09:02:28.949Z,60
2023-03-13T09:02:31.049Z,60
2023-03-13T09:02:33.159Z,60
2023-03-13T09:02:35.275Z,60
2023-03-13T09:02:37.393Z,60
2023-03-13T09:02:39.501Z,60
2023-03-13T09:02:41.619Z,60
2023-03-13T09:02:43.727Z,60
2023-03-13T09:02:45.823Z,60
2023-03-13T09:02:47.94Z,60
2023-03-13T09:02:50.054Z,60
2023-03-13T09:02:52.147Z,59.900001525878906
2023-03-13T09:02:54.264Z,60
2023-03-13T09:02:56.367Z,60
2023-03-13T09:02:58.492Z,59.900001525878906
2023-03-13T09:03:00.596Z,60
2023-03-13T09:03:02.707Z,60
2023-03-13T09:03:04.818Z,60
2023-03-13T09:03:06.925Z,60
2023-03-13T09:03:09.026Z,59.900001525878906
2023-03-13T09:03:11.138Z,60
2023-03-13T09:03:13.244Z,60
2023-03-13T09:03:15.354Z,60
2023-03-13T09:03:17.463Z,60
2023-03-13T09:03:19.568Z,60
2023-03-13T09:03:21.685Z,60
2023-03-13T09:03:23.79Z,59.900001525878906
2023-03-13T09:03:25.897Z,59.900001525878906
2023-03-13T09:03:28.009Z,60
2023-03-13T09:03:30.11Z,59.900001525878906
2023-03-13T09:03:32.224Z,59.900001525878906
2023-03-13T09:03:34.328Z,60
2023-03-13T09:03:36.434Z,60
2023-03-13T09:03:38.548Z,60
2023-03-13T09:03:40.658Z,60
2023-03-13T09:03:42.754Z,60
2023-03-13T09:03:44.874Z,60
2023-03-13T09:03:46.979Z,60
2023-03-13T09:03:49.096Z,60
2023-03-13T09:03:51.213Z,60
2023-03-13T09:03:53.319Z,59.900001525878906
2023-03-13T09:03:55.423Z,60
2023-03-13T09:03:57.522Z,60
2023-03-13T09:03:59.631Z,60
2023-03-13T09:04:01.746Z,60
2023-03-13T09:04:03.855Z,60
2023-03-13T09:04:05.965Z,60
2023-03-13T09:04:08.075Z,60
2023-03-13T09:04:10.175Z,60
2023-03-13T09:04:12.287Z,60
2023-03-13T09:04:14.398Z,60
2023-03-13T09:04:16.519Z,60
2023-03-13T09:04:18.625Z,60
2023-03-13T09:04:20.73Z,60
2023-03-13T09:04:22.847Z,59.900001525878906
2023-03-13T09:04:24.954Z,60
2023-03-13T09:04:27.06Z,60
2023-03-13T09:04:29.16Z,59.900001525878906
2023-03-13T09:04:31.278Z,60
2023-03-13T09:04:33.386Z,60
2023-03-13T09:04:35.49Z,59.900001525878906
2023-03-13T09:04:37.608Z,60
2023-03-13T09:04:39.718Z,59.900001525878906
2023-03-13T09:04:41.826Z,60
2023-03-13T09:04:43.938Z,60
2023-03-13T09:04:46.044Z,60
2023-03-13T09:04:48.153Z,59.900001525878906
2023-03-13T09:04:50.259Z,60
2023-03-13T09:04:52.369Z,60
2023-03-13T09:04:54.48Z,60
2023-03-13T09:04:56.583Z,60
2023-03-13T09:04:58.698Z,60
2023-03-13T09:05:00.796Z,60
2023-03-13T09:05:02.923Z,59.900001525878906
2023-03-13T09:05:05.034Z,59.900001525878906
2023-03-13T09:05:07.139Z,60
2023-03-13T09:05:09.244Z,60
2023-03-13T09:05:11.35Z,60
2023-03-13T09:05:13.465Z,59.900001525878906
2023-03-13T09:05:15.575Z,60
2023-03-13T09:05:17.679Z,59.900001525878906
2023-03-13T09:05:19.789Z,59.900001525878906
2023-03-13T09:05:21.899Z,59.900001525878906
2023-03-13T09:05:24.004Z,60
2023-03-13T09:05:26.13Z,60
2023-03-13T09:05:28.235Z,60
2023-03-13T09:05:30.338Z,60
2023-03-13T09:05:32.451Z,60
2023-03-13T09:05:34.556Z,60
2023-03-13T09:05:36.669Z,60
